,text,pred_rating
0,Echo restaurant has a very calming and romantic atmosphere and the food is excellent. We first visited Echo in 2012 and nothing has changed by now. The service is really good and the staff member Curator Pradeep who served us was very friendly and helpful. I would recommend this place to anyone who wants to enjoy a good meal in a relaxing environment.,5
1,"One of the best Italian Resturant in Colombo ( cinnamon grand).  Got separate smoking seatings. Buffet dinners on Wednesdays, Fridays and  Saturdays. ,Excellent on service most of the time the restaurant managers there to cater you and they got a nice bar too. Nice view of Colombo city from restaurant. ,very bright and brilliant and clean place. All foods monitored by originally Italian star chef. Itâs a place for Italian food in Srilanka... ",4
2,"The greatest Italian experience. The herbs , breads and of course the menus. and excellent service by curator Pradeep ,Try out grappamisu,Great hospitality and keep up the good work guys , ,Saj. ",5
3,"We had a great time at the lagoon.we always come to the lagoon really nice delicious food as always everything smoothly went.,Specially have to thank Eranga and Hashi they takecare us very well.I really enjoyed my day.",5
4,"Came for a honeymoon November last year, trying to figure out where to go for our next holiday together and realised all the answers were in sri lanka again! See our review from December 2018.,We both missed the unique experience of Cinnamon Grand so much that we came back for our first holiday of 2019 - service, hospitality and quality is exceptional as always. Special mention to: Leeza, Asanka and Prabath, have made our first day after a long flight as perfect as it can be. Incredible people and very much looking forward to seeing them and the rest of the team for the remainder of the stay. ,We spent every night at the Shisha Lounge in November and plan to do the same for this stay. Very happy to see Priyadanshana and Chadika again - the shisha they make is exceptional and couldn't be recommended any more highly. Their customer service is unbelievable and they make us feel at home again.,Here's hoping that time goes as slowly as possible for the next 8 nights.,Much love to the whole cinnamon grand team! ",5
5,Marvellous service and food along with a beautiful wedding of my partnersâ Sister wedding. Excellent service provided by Chandimal and team!!! Wouldnât forget the experience over here for the whole event.,5
6,"Business as usual. Great job nirosh weth mangala Cinnomon! Amazing  to see large numbers in restaurants.. good food, excellent service,smiley faces...we had an amazing meal...looking forward to be here soon again..,#srilankan tourism #peace #welcome all!!! :)",5
7,We visited cinnamon grand today after the terrible incident and the security is very good and I can say that it's very safe.As always they served us the best food at noodles and the staff was very friendly.,4
8,Came for my sister's wedding and was helped by Chandimal and his team from the concierge lugging around crate after crate of bottles.. even two days after the wedding was over offered to find us boxes to pack everything... Great service team.,5
9,"We are so glad to see that #CG  is back to normal and service is BETTER THAN EVER! ,Mr Mangala, Mr. Ranjith, Thushara and Lolita are back at making magic!,Highly recommend Cinnamon Grand as your next dinner/ holiday destination in #srilanka",5
10,"Great atmosphere, people, food and drinks.,Pradeep who looked after us did a brilliant job ensuring that everything was taken care of down to the last detail,Great to see that the crowds are back and the place is buzzing.",5
11,We are regular visitors of cinnamon grand specially noodles restaurant and came here again after the ugly incident and we fiound hotel security system was fantastic and they are very concern of the customers and not taking any risk now i can guarantee about their security arrangemnts,5
12,I visited Cinnamon Grand this evening & was amused to see the security measures taken by the hotel. The vehicles that entered were thoroughly checked. Even the bonnets of the vehicles were opened & checked. Do not worry about the safety. Do visit Chutneys for some authentic Indian food. Special thanks to Priyadarshana for his amazing service. Always with a smile & happy to serve. ,5
13,"We had a great time today,priyadarshana gave us an unexpected surprise for my bday,as usual his service was good.feels like home because of these guys every time we come here.and the ordered food was very nice.",5
14,"We came for a dinner with my family today,as usual we had a very good experience,and specially the staff is very friendly and helpful,and the food is delicious and worth for the price,mangala gayan   And eranga ",5
15,"Cinnamon has taken all rightful measures to assure the security of us as guests, foods in all their restaurents are exceptional as usual, nooodles is one our favourite restaurents with excellent service.",4
16,"We have enjoyed the food at cinamon and it was awesome.! Now the situation is back to normal and anyone can visit this place without any issue. ,Note - Place is well  secured and you can vist here without any hesitation.! You will be able experience taste food at cinamon at anytime.! ,We came out for dinner and had a good time at  noodles.! ,Thank you for the service.!",4
17,"Walked into Cinnamon Grand a place so often visited with the girls,It was a delight to be greeted and made much of,Considering the unfortunate situation faced by them they carried themselves with so much strength in their hearts .,We had a delicious meal at The Noodle,Spoilt by Mangala, Gayan and Eranga. ,We know there is so much hope and prosperity here for all who work tirelessly to make every guest special",4
18,We just visited cinnamon grand which I would call home away from home...was saddened by the fact that it was kind of empty..but the friendly welcome the staff with their smiling faces made us glad. Visited Noodle the staff the food and the welcome was so great..restaurant was kind of full was so happy to see it.. will visit as often as we could.thank you Mangala Eranga and Gayan for giving us excellent service smiling faces n good food,5
19,"Tonight we were at the Noodles Restaurant at Cinnamon Grand after the unfortunate incidents of the recent past. We experienced their resilient spirit.  It was as if we went home. We felt safe, enjoyed their excellent service and food dished out with that unmistakable smile,Cinnamon Brand has given us the best  hospitality can offer, at all times and been like our second home.  Now its time to stand by them and reciprocate their loyalty to us by patronizing their restaurants and rooms and help them in  their hour of need.,Dr. and Mrs. Anders Tunek",5
