,text,pred_rating
0,"First hotel on our visit of Sri Lanka. We arrived at 1:30am, check-in was smooth and we were given a nice room. ,However the next day we opened the terrace door to a wall rather than an ocean view we were expecting. A quick word to the front desk and we paid to upgrade to a much better room with a great sea view,The staff were nice and the hotel facilities are good considering the hotel is one of the oldest in Colombo,The best part of the hotel is definitely the Cuban bar âKing of the Mamboâ ",4
1,"Stayed in Galle Face 2 weeks before the terror attack in Colombo ( Saddened so much to hear after having such a wonderful time)...It is absolute rude shock. Coming to the hotel, probably one of the best hotel with old British style. One has to stay and experience if you are a lover lovely wooden furniture still you feel in 5 star hotel. It has got one of the beautiful private beach...with elevated view. Food is awesome. You get best of the decent yet attractive night clubs. Enjoyed swimming pool just above sea level...you feel you are in a beach yet in swimming pool. Worth the every penny you spend. It is also a good family destination.",5
2,"Beautifull colonial hotel on the beach, full of historical moments of Colombo, bar and dining are amazing and just to have a breakfast in the terrasse is already a unique experience, I travel all around the world and my stay in Gale Face was fantastic. Congrats.",4
3,"We stayed there for a few days before the dreadful attacks. What a shame, the impact will undoubtedly affect this place.,Very friendly staff; delightful place and utterly relaxing. Good breakfast as well and nice bars/restaurants.,Definitely recommended.",5
4,"This hotel is significant not only for its location but also its place in history. The museum will boast of Prince Philip's car and also a listing of renewed personalities around the world who have walked and stayed inside its walls. I visited to attend a meeting at the back wing where the museum is located. Their service was impeccable and the afternoon tea selection of sandwiches and cakes were delectable. The views from the beach were fantastic, they also have a flag retreat where bagpipes play at sundown. Best place to be when the sun sets.",4
5,Final night of a tour was the highlight. Could not have asked for better service including a late checkout and being looked after right up until the car picked us up. The flag ceremony at the going down of the sun was especially poignant and very British. Cocktails on the lawn were relaxing.,5
6,"The wooden architecture is really beautiful and the staff is really friendly. ,Good location and closer to the beach and other local shopping areas. ,These days since the terror attacks the security is a bit high but no complains because those things are really essential for security purpose.",4
7,"The best place to stay hands down in Colombo. ,From the moment we arrived the service and friendliness of this lovely historic hotel was amazing.,We were there with a very large conference some 300 people. Nothing was too much trouble.,Do yourself a favour and go to Sri Lanka and stay at Galle Face.,It is not to be missed.",4
8,Went to Galle Face hotel to grab a quick bite and some drinks with family. Look for Malinda @ king of mambo. Great service had a pleasant time dining on a fine day out facing the ocean at open terrace,4
9,"The rooms are exquisite with two cleankngcservices per day.The location is on the bay and by sleep with the sound of crashing waves in your ears. Staff and food are amazing. A must visit hotel for personal care . You are family, not a guest ",5
10,I am extremely disappointed with the management of the hotel. We meant to check in on Easter Sunday 21/4/19. As you all know Sri Lanka was shaken by a string of terrorist attacks that morning. We were advised not to move hotels and stay in put. The taxi service wasnât working in the hotel we were staying in as a result of the attacks as they said it was not safe to go out. We have called the hotel and asked if they could send us a taxi to transport us to the hotel (which obviously we would pay for) they told us they canât as their transportation service isnât running as well due to the terrorist attacks. I told them if thatâs the case there is no way that we can check in. However after 3 days they took the payment from my card. I have contacted Booking.com as I have booked through them and being on the phone for over 50mins the lady told me the hotel is refusing to refund the money as they marked us as âno showâ. I found it disgusting that they are still trying to make money out of the unfortunate situation. Itâs very sad.,1
11,"We stayed for two nights here and were blown away with the facilities, the beautiful old building, the food and drinks and also the staff. Arguably the best hotel I have ever stayed in. A special mention to Lalith at the Long Bar who was especially accomodating every evening - many thanks to him. ,We will be back. ,Thanks, ,Oscar ",5
12,"This is an amazing hotel and definitely worth staying at. The highlight is Happy Hour in the Long Room, where the best barman in Sri Lanka, LALITH, will serve you yummy canapÃ©s and re-fill your drink as the sun sets and the waves roll in. Thank you LALITH - we look forward to seeing you again next year.",4
13,"We love this place the staff are amazing it is very well priced for a fabulous grand hotel and I highly recommend this for anyone who wants a great Sea view,We have been here during this time of the ,Bombing but the security is incredible and ,The staff here have been very diligent and make us feel very safe",5
14,"The minute you step foot into The Galle Face Hotel you know you are in for a special time. I found this hotel to be exquisite in every respect. Our balcony room was spacious , well equipped and with lovely decor. Breakfast was located in an open verandah  overlooking gardens and ocean and offered a large range of SriLankan and Western foods. The lounge area offered wonderful afternoon canapÃ©s and drinks which was an added bonus with our room selection. The colonial history of this hotel has been maintained and is reflected in the decor and some of the hotels current services. All of this plus a great location made for the perfect beginning to a wonderful Sri Lankan holiday.",5
15,"Beautiful, colonial hotel by the ocean front. Lovely big, salt water pool overlooking the ocean (no ocean swimming allowed). Beach front local markets are a one minute walk from the hotel and a tuk tuk into central Colombo is not more than 5 or 10 minutes (depending where you are going; recommend using Uber as it can be used to book tuk tuks). Amazing breakfast selection. Wonderful staff. ",4
16,"We were staying elsewhere but visited for lunch. The prices were very reasonable and the food was very good. It was great for kids who are used to western food as there was a good range for them. The view and setting was lovely, making us wish we were staying there!",5
17,Two friends and I recently stayed at the Galle Face Hotel for three nights. The hotel and its grounds are lovely and historic. The pool is particularly nice and relaxing with views of the ocean. I would spend the money to get ocean view rooms above the basic room - they are far roomier and nicer bathrooms. The attacks in Colombo occurred during our stay in Sri Lanka but we felt very safe at the Galle Face and they were very helpful in helping us to navigate increased security at the hotel and the airport. ,3
18,"Great hotel. 150 years old and expect that some things are old! Great pool. Several bars and places to eat. Amazing balcony and poolside drinks and food. Piles of history and antiques and interest. Rooms were old but spacious and very comfortable and the service is exemplary. It is a great location too for most touristy sites and a walk in the evening along the sea. Thank you! I hope you are all safe and send huge sorry for the terrible things that happened this week.,Highly recommended.",4
19,"It was one of the most memorable hotel experiences of my life. Quite apart from the obvious beauty of the hotel architecture, the service was impeccable. Amazing staff - from the front desk to the door, the restaurants/pool/long bar, the chamber staff. I canât fault it and will definitely return. Special mention to Emmanuel, Chief Concierge, who went above and beyond.",5
20,"I first heard about this hotel on an episode of the Amateur Traveller podcast, and had always wanted to visit. And my stay there did not disappoint. Well run, with great service. The hotel and restaurants are very atmospheric given the heritage status from its colonial history. Had a nice view of the courtyard and ocean, with the sound of the ocean surf to put me to sleep. Enjoyed the sundown and flag lowering ceremony complete with bagpipes. Definitely recommended.",5
21,"This hotel is wonderfully located alongside the sea.  There is a lot going on in the evening with the bars taking advantage of this position.  Very helpful staff, especially in getting our bags back from Qatar Airways.  The food was a bit average, especially the breakfast with juice made from cordial.  Our room was okay bur nothing more than that.  We were greatly impressed with the free mini bar even if it was modestly stocked.  TV reception very poor.",3
22,"It's rare to be at a ""city"" hotel with a pool overlooking the ocean and a bar on the beach where you can enjoy the sunset, yet be able to walk to most attractions of interest.  And the next-door Galle Green is a popular public park where it is fun to stroll at sunset with local families.  Top that off with a 150 year old history, it's own museum, a brand-new renovation and beautiful spa, and you have one of my favourite hotels of a 4 week trip.  Service and breakfast were great and it has fun quirky touches (the slingshot guy who chases away crows, the guy who shimmies up the palm trees to trim them; the bagpiper at sunset).  Recommend the higher priced rooms with balcony and view which come with access to the Long Bar and free Happy Hour drinks and snacks.  Only downside arriving jet-lagged was that the bathroom space is not separate from the bed so if one partner is sleepless, the other will be disturbed.",5
23,Stayed one night in this hotel for our arrival into Sri Lanka for our honeymoon. Lovely hotel with all the old world charm of colonial era. Room was well maintained and had all the trimmings you'd expect of a hotel of this standard. Hotel has quite a bit of history and has many photos of previous hotel stayers like movie stars and bigname political leaders from around the world. They were very thoughtful and making us a welcoming honeymoon cake which was delicious and much appreciated. Staff and service were fantastic and the breakfast was pretty good. Highly recommend this place and would have no problem coming back here.,5
24,My husband and I had a wonderful time at The Pool Bar at Galle Face. Amazing staff for their excellent service. We visited Sri Lanka for our Sweet holiday vacation. Since Galle Face Hotel is one of the Iconic Landmark we decided to take a look and gladly our time was not wasted. We had a wonderful day at The Pool Bar. Surely once we visit again Sri Lanka were going to stay at this Hotel and be back again at The Pool Bar. Thanks to Mr. Indika and his colleague for making our vacation memorable and wonderful. Keep up a good work!!!,4
25,"We stayed here for one night. On the plus side.... breakfast was very good, dinner at in-house Mexican was lovely. In general the communal areas were very nice and what you would expect from a hotel like this. ,I was initially not happy with the cost of the hotel car to airport but when arrived it was a large Merc and very very comfortable. Worth additional money. ,The sticking point for us was the rooms that we were allocated, which were in the non-renovated part of the hotel. Avoid if possible. We had an adjoining room requirement and it was one night so no dramas... but they need to sort these out. Mildly depressing and unlike the previous places we stayed in Sri Lanka, we were not too keen on hanging around in the room much. This notches rating from 5 to 4 for us. ",3
26,"A fantastic hotel, full of old world colonial charm. In a great location on the beach & beside the green, close to the city centre but without the traffic.,I loved the way the old floor boards had been retained, some loose, some wobbly.,Room was excellent with a comfy bed and spotless bathroom.,The staff are what makes this hotel special, nothing is a problem and you will always be welcomed with a smile.,The breakfast buffet is everything you can desire and served outside in a covered terrace.,Why would you want to stay anywhere else in Colombo",4
27,"Very special place to stay. Service is done with a smile by all staff and the food is amazing. Beautiful setting right on the water and easy walk close by to the old parliament. The decor and complete layout of the whole complex is a an old style opulent hotel. Also the collection of photographs of who has stayed there over the years is a who's who of stars, presidents, royals etc and the Duke of Edinburgh, Prince Phillips first motorcar display is a great touch on the second floor.",4
28,Everything here is first class. The staff are very attentive and helpful from advice to breakfast to the pool area. Loved the guy sling shotting the crows. He never hit one but did a great job very entertaining. The room Was quiet except for the ocean waves which was very calming. The restaurants and bars are all around the hotel from fine dining to afternoon snacks. No need to leave the hotel really. The pool area is literally on the beach and spectacular but a bit salty and warm. Great surrounds there for relaxing the entire day on the lounges.  Very recommended. ,5
29,"The location of this Hotel is unimaginable, the boundary wall of which is infinite Indian Ocean. It is on the immediate edge of the ocean. Wonderful view. Restaurant is also just before the edge of the ocean, providing excellent experience. Food and service is also par excellence. Rooms are spacious. It has everything that is needed by any traveler. Only one suggestion. Before using the bathrooms and locking the same, learn from staff how to lock and unlock. Turn the lock only once till you hear click. For opening the lock of the bathroom turn the lock in reverse direction only once till you hear the click. More turns and you may get stuck.@Management: please change the bathroom locks.",5
30,"A nice place to experience old world charm. The hotel is old but does not show signs of ageing at all. In fact, the hotel is so old that it has a museum inside the hotel and they have a guided tour of the hotel itself on particular dates/times.,Be sure to read about the hotel before you land there as it will help you explore the hotel. They have a great library and interesting artefacts throughout the hotel.,The swimming pool was a new experience for me with salt water but I did not enjoy it too much.,They have a decent spread for breakfast and a great service though I would recommend this for a lazy quiet trip with your partner rather than with the family.,All in all, it is a nice experience and something that you should do.",4
31,"Great hotel, service and location. Happily stay there again. Good food reasonably priced with lots of options. Front of house well run and a range of options with sea views for pre dinner drink,Good sized and clean bedroom  ",5
32,"The halls move and creak ever so slightly in this lovely, massive old dear of a hotel.  Renovated beautifully, this place will transport you back a century to a different world, while keeping its hospitality clearly in today.  Like her sister the Del Coronado across the world, Galle Face is, miraculously, dressed and ready for the ball.  You'll find great food and even a designated man with a slingshot to keep away the wise murder of crows that owns the veranda.  We wish we had a bit more time than a day here, as it seems there is much to discover.",4
33,"We stayed here late in January 2019. We love the grand old hotels and this one was excellent. We had a Landmark Qeen Room which was very large and comfortable with a view of the pool and ocean.  The breakfast, which was included, was very good with great variety available.  We left after breakfast.  The front desk arranged for our car and driver to take us to Marissa which worked well.",5
34,"The Galle Face is spectacular.  You feel like you have stepped back to another century, and can image the British from the days of the Raj strolling through the hotel. We stayed 3 nights and were sorry we couldn't stay longer.  Our junior suite was lovely, out balcony gorgeous (more lovely than the balcony in The Long Room [the Club Room]).  Buffet breakfast on the terrace facing the ocean was lovely, the food delicious.  Spectacular.",5
35,Beautiful hotel with a sea water swimming pool.  Very attentive staff in the bar areas but a lot of the time the door staff were more ornament than use.  We were upgraded to a sea view for which we were grateful.  Did not eat dinner here but breakfast was delicous.,4
36,"Galle Face hotel takes you back to a time when service was paramount.,This has not changed and all the staff especially our room staff were very happy to help at all times,Food was superb but as always a little on the expensive side which we have come to expect when we travel.,Would recommend to any travellers looking for a stay in Colombo but it is not really suitable for young kids as does not have much to offer them.,Salt water pool was good but deep all over and if you are under 5ft 6inch you won't touch the floor",4
37,"Service can improve, lacks professionalism compared to hotels of this calibre in Asia and also Europe. Food is good, especially the restaurant by the beach which is of South American influence. Taxi service too expensive compared to other hotels.",4
38,"I stayed on a recent business trip to Sri Lanka. The staff are welcoming, friendly and very helpful. Although an hour or more from the airport depending on traffic, it is worth the effort. If you like the sound of the ocean, make sure you get a room with a sea view. The grounds are simply beautiful and try and make it there for sunset as the Sri Lankan flag is lowered to bagpipe music. Enough to say that I will be back and for more than two night next time. ",4
