,text,pred_rating
0,"The old colonial feeling. The whole buildings,  swimming pool, restaurants, the walk along the beach and hip vibe at night.",4
1,They don't have local cuisine that we wanted to have before leaving the country. The room is very small considering the value.,4
2,Loved this hotel! The staff couldn't have been more helpful or friendly. The breakfast was amazing - probably 1 of the best buffets I have had.,5
3,It was very quiet but this was because of the recent Easter Sunday bombings,4
4,"Loved the enormous salt water pool,, and the breakfasts , especially the freshly made hoppers I usually sat a little longer with an extra pot of chai overlooking the sea,, nothing was a problem. And brilliant front desk and concierge service",5
5,"Such a lovely stay at the hotel. We arrived just after the terrible news on Colombo and despite having army personnel around the hotel, the staff were so amazing at making us feel safe and at ease. As it was our honeymoon, the staff upgraded our room and sent bubbles and chocolates to our room which was a lovely touch. The room service was also so prompt and tasty. Weâre planning on returning in the future to spend more time here. Thank you to everyone at the Galle Face for being so lovely at a time of tragedy for Sri Lanka.",4
6,"The breakfast was incredible, the staff beyond helpful and the bedrooms were lovely. It was a truly great stay and I would definitely stay again.",5
7,"I don't have a bad word to say about the Galle Face Hotel, we loved every minute.",5
8,The history is amazing and the place is huge and beautifully presented. the pool is great and th eoptions for drinks and food are really good. Location is also perfect.,5
9,Nothing,5
10,"Staying here made for a wonderful first night in Sri Lanka. A gorgeous historic building that has been looked after so well. Lovely rooms, incredible evening buffet eaten under the stars, a fun Cuban bar on site to watch the sunset and a lovely clean pool. Wonderful location too!",5
11,Nothing!,5
12,"Breakfast was very good and varied as would have been expected from a 5 star hotel. Bed was comfortablePool was excellent overlooking the sea - lovely to relax and hear the waves lapping. Staff were incredible helpful and always willing to help even organising a taxi for us at the end for the airport. We did not use the hotel's cars which would have cost $70 to the airport and instead used  Kangroo Cabs which cost 3000 rupees.",5
13,"For what we paid, I was expecting a nicer room. Although we got one of the cheapest rooms, we still paid Â£165 a night for a basic room and breakfast - with a view over a unused courtyard and building which had paint peeling off its walls.  We had stayed in much nicer rooms throughout our stay, but I understand that you are paying for the location and to stay in a piece of history. One night we went to the hotels Cuban restaurant, My partner is vegan and even though vegan options were given, the food was bland and tasteless and we ended up spending Â£28 for 4 small plates and 2 mock-tails. I would not recommend eating there!",3
14,"Beautiful colonial hotel close to the seafront. Wonderfully restored to its former beauty. Great spacious and well-appointed rooms, excellent breakfast and dinner. Superlative staff with great service!",5
15,"Perhaps a little pricy, but worth it.",5
16,"An amazing place to stay in Colombo- friendly staff, incredible food, plenty of history to enjoy in a place that oozes style and takes you back in time.  Definitely recommend it!",4
17,nothing- I wish I could afford to stay there longer!!!,5
18,The greeting was great the room was good. Complementary fridge and a great house keeper. Loved the salt water pool.,5
19,Holes in pool decking that could cause injury,2
20,The property is beautiful and the staff is amazing and they even bring you fresh water bottles and fruit in the swimming poll. The breakfast is great.,5
21,Rooms are old but well mantained. Could use an update. We had a balcony and what we could see: another building...,3
22,"This place is a living heritage museum, celebrating bygone eras. Staying here is a must on your visit to Sri Lanka. The building is beautiful and classic, the service friendly and helpful, the food and drinks delicious. I strongly recommend having sundowner drinks in the courtyard and watching the bagpiper play as the Sri Lankan flag is lowered at sunset - what a remarkable experience!",5
23,The hotel is an iconic place. So much history! En joy the historic tour of the hotel to get the best historic insight of the property.,4
24,Pity the harbour and big buildings are coming towards the hotel...,3
25,A wonderful hotel in every sense enhanced by fantastic staff. Colonial style with grand staircases and wood panelling. Staying here is a unique experience. There are plenty of marble palaces nearby but once inside you could be in any city in the world. The Galle Face Hotel is Colombo.,4
26,Nothing to dislike.,5
27,The staff. The welcome and check in process. Having complimentary minibar items and welcome snacks. The happy hour snacks were delicious. The ocean view from the room along with the sound of waves crashing on the property's beach. The outside seating area of the restaurants by the beach. The suite size. The TV was big.,5
28,"The hotel is old but not in a charming way. It looks like it needs renovation. The carpets need replacement (they look dirty), the wood needs polishing and the wall needs painting. Some areas of the hotel smelled like sewers and some of the towels in the toilet looked so worn out.",2
29,"The hotel is very colonial - it literally breathes the history of older times. It is truly one of the main places to see in Colombo, we highly recommend it for a stay in the city. We stayed for one night on our way back home and we really regreted not staying there longer.The staff are AMAZING - welcoming, helpful, discreet. You truly feel the luxury and the tradition of quality. This hotel is a city within a city - there are so many things you can do - 4 amazing restaurants, splendid front line sea view pool with salt water, bars with an exciting selection of drinks, spa area, museum (how crazy is that?!:)), wime cellar.. Special thanks to the manager who gave us an upgrade and a complimentary early check-in. We were surprised that the hotel managed to overcome our expectations! Will definitely stay again.",5
30,I liked the food. The burger was excellent on the veranda. We also went to the 1864 French restaurant and the steaks were very good. Service was impeccable and all in all a great experience and end to our holiday.,5
31,Curtains werenât quite fitting the windows which was annoying in the morning.,3
32,Huge room and you can hear the waves when you open the windows. Great breakfast and iconic sunset,4
33,"The hotel is a bit tired and our room looked like t hadnât been used in a while. The staff was very quick in fixing it, but We let we had better experience in significantly cheaper places.",3
34,Old colonial hotel with memories of days gone by!,2
35,"Our room was in a wing on the side, however the passage was noisy with people walking and we could hear doors banging! It is a beautiful old quaint colonial hotel, as such the floor creek etc",3
36,Have stayed here many times. The hotel has refurbished and improved consistently over the years. I can't imagine staying somewhere else in Colombo.,3
37,"The room was great the staff was friendly and professional. We had high tea with invited friends rather than dinner which was fantastic.
",5
38,Nothing. Everything was perfect.,5
39,"Nice, big hotel with history. Beautiful terrace to enjoy a drink. Breakfast was vast and lovely. Nice pool overlooking the ocean.",5
40,Our room was okay but not as beautiful as where we stayed before here. ,3
41,"Great location, just a few metres from Fort wall and beach with views of wall and beach from balcony. Generous and tasty breakfast.
Friendly hosts who kindly offered to do a load of washing for us at no additional fee.",4
42,Nothing,5
43,"An exceptional colonial hotel with up to the second amenities. Wonderful staff providing excellent service.  Great choice of food and drinks, a truly fantastic place to stay in Sri Lanka. ",5
44,If you can fault this hotel in any way Iâd be utterly surprised. ,5
45,Everything about this beautiful hotel is perfect. The staff are wonderful. The breakfast is superb and the atmosphere/buildings are excellent. I will always return here when I come back to Colombo!,5
46,The location right on the water is stunning.  It was lovely to sit by the pool and overlook the ocean and have the waves crashing right there.  It doesn't get much more beautiful than this.  It is also very close to any restaurant or site you want to visit in Colombo.  The buffet breakfast was also quite delicious.  The staff was very friendly and helpful throughout our stay.,4
