,text,pred_rating
0,"Kingsbury Hotel was one of the hotels that was affected by the recent Easter bombings in Sri Lanka. However on our visit to this splendid hotel during the month of May 2019, we did not see any effects of these attacks. ,The hotel functioned smoothly and we did not at any time during our stay feel either worried or troubled.,There was a scanner at the front entrance and the staff was extremely professional in scanning our belongings to ensure the safety of the residents.,As to the Hotel, it is located in the heart of the city, but with a beach view and is luxurious.  We stayed on the 9th floor, which floor had a separate lounge for either relaxing or business activities ,The staff in the hotel are very friendly and helpful.,The swimming pool is under maintenance and as such we did not use the pool, but was offered the use of the Hilton Pool,We have stayed at other hotels in Colombo, this being the first time at Kingsbury and would definitely visit this hotel in our next visit and highly recommend it ",5
1,"We have been regulars at the Hotel everytime we visit Colombo for a casino trip. Room wise, their Standard rooms are literal as per the name - very ""Standard"" in size and equipped with standard aminities a 5 star offer. The Suite rooms are nothing short of a palace. The bedroon has glass walls on 3 sides offering a gorgeous view of the sea. They have recently opened Celavi on the rooftop. Those hailing from Singapore/Hongkong/KL would instantly know the name as its a chain of open air (mostly rooftop) restaurants offering amazing food and amazing view of the city.",4
2,"I was very impressed by the staff of this hotel, from the warm welcome to the smiling faces that accompanied every service provided. Of course the recent bomb attack would have had it's impact on them, mental trauma included but still they didn't forget to smile. This is a very beautiful property located in the best part of Colombo and has every amenity needed and gorgeous city views. Thank you for a wonderful stay at your amazing hotel. ",5
3,"I had many meals at the Grill and Other restaurants at the Kingsbury. The food is the best. Even better than certain international hotel chains in Sri Lanka. ,Do try their buffets. Out of this world. My review is to commend (Hi5) the management. ,You indeed were very professional in handling my refund. Sad we could not have the planned post-wedding brunch on the 28th due to the deadly explosions. Yet the way you handled my request and the speediness of the refund speaks very well for you and Sri Lanka. ,I have no hesitation in recommending The Grill and THE OCEAN SEAFOOD RESTAURANT. Excellent for group dining. The Cuisine is delicious. The customer service of Management Top Notch.",4
4,And also they lock the minibar so my wife couldn't put my little son milk inside the fridge. However it was good experience for us to stay at Kingsbury hotel that placed in the central of Colombo. I will stay at the hotel again,4
5,Yesterday night was my brothers wedding ceremony.what a beautiful amazing hotel it was.just truly mad by its amazing staff.special thanks to our wedding coordinator MR.THAMEERA woh gave us great support from the beginning to the end to make our ceremony a beautiful one.also another big thank to the banquet captain MR.CHAMINDA who helped us a lot with his great staff.i truly recommend anyone to stay or to have any events at knigs bury hotel with the amazing and supportive staff around.thanking once more to kingsbury who assists us from the very beginning until the end to make our ceremony  fantastic one.,5
6,"I loved lots of things about this hotel.  The room was too narrow but overall had tons of space, a whole dressing area and a really great bathroom.  I loved the shower!  We had a great dinner at the Chinese restaurant and the staff was so nice.  They even let us leave our luggage for three extra days while we headed out to tea country.  Despite the terror attack they are still open for business and I highly recommend them and would stay again.",5
7,"We stayed at this stunning hotel for three days at the end of our stay in Sri Lanka.  From check in to check out, three days later, we had an amazing time. Exceptional service, accommodations and dining at the restaurant. Staff are absolutely welcoming and consistently pleasant.  A special thank you to Chef Jayasuriya and his team who went out of his way to accommodate us and make things extra special.,I write this with a heavy heart in light of recent events in the news concerning the horrendous attack and my thoughts are with all those at this amazing hotel. We will be back.",5
8,"We stayed in The Kingsbury for one night a week before the attack. The reception were absolutely fantastic. We left a card in a cash machine at the airport and they sorted it all out for us. I donât know the name of the particularly lovely guy who calmed down a very jet-lagged and anxious guest, but I thank you from the bottom of my heart. Thinking of you all.",5
9,Today was holiday for me went out for lunch at 12.15 pm they had a buffet variety of selection to choose it's was amazing the food is awesome and we all enjoyed very much. I would recommend anyone to visit this place.,5
10,"We toured Sri Lanka for 10 days and stayed one at the Kingsbury on our last night before taking our flight from Colombo.,I'd like to thank the hotel for the beautiful birthday cake on arrival.,This is a cracking hotel in the middle of all the hustle and bustle of an amazing city.,Views from the bar on top of the hotel are fantastic and a must.,We ate in the fish restaurant and I must say it was the best meal we ate in Sri Lanka. We picked own fish and asked chef to cook it how we wanted. Lobster thermidor was so fresh. Bottle of white win and two fantastic courses 14,000 rps!!,We've stayed in some posh hotels in London, this has the same feel and quality without the offer priced drinks and food London charge.,I highly recommend this hotel if staying in area and wished we had been there longer.",5
11,The staff here are excellent. Perfect English spoken .  Good Buffet choices. Pool area beautiful & Honeys Beach Club relaxing for evening. Amazing view from room. Reclaimed land in front only downside with diggers working away.,5
12,"So much to choose from including Sri Lankan and western style dishes. I particularly liked thdd asparagus soup. Very creamy and tasty. There was also a really nice potato and sdpinach curry I liked. I tried small amounts of several dishes and enjoyed everything. I wasn't staying at the hotel so didn't see the rooms. I just went there for dinner. A good location and there were big displays of red roses in the foyer... maybe there was a function planned, or maybe they do it all the time. It looked like a nice quality hotel.",4
13,"Stayed at this very well kept beautifull hotel for 2 nights with family.,Amazing hospitality helped me to recover my lost money from a local driver though it had no concerns with hotel team. Great food, service well kept rooms and amenities. The multiple  restaurants provide an arrey of cuisines.,Rooms with a view if galle or ocean.",5
14,It's almost the best hotel around the place. Customer relationship is really excellent and very pleasing. The honey beach restaurant is very nice and the out door is really amazed the evening. Staffs are really attentive a big thanks to Mr. Farooz for your Hospitality.,5
15,"Great place to stay on route to the airport. Clean, great facilities and welcoming team. Watching the sunset by the Pool, buffet and rooftop bar were all highlights. Thanks and look forward to next time.",5
16,"My husband and I stayed here two nights celebrating a friends birthday. ,The pool area has a great atmosphere; even though itâs now surrounded by the port which used to be a beach. ,The room was immaculate. Once blinds/drapes closed room is literally pitch black which has its pros and cons, luckily we didnât sleep in! ,Bathroom was spacious and provided amenities were of a generous size.",4
17,"I came at the evening with my friend to have a little drink into the bar called the king's bar and when we came in pawara we'll come in a great way we was shocked for his we'll come and he gave us a nice table and seatad us he was we're friendly and Soo helpful his service was great  we are really tank full for his service .........,Tanks a lot for everything pawara we will surely come to see again tnx a lot",4
18,"We were only here for one night after our flight. The location is good, staff fine. If you get chance walk across the road to the Old Dutch Hospital where there are a number of bar's and restaurants. We would return.",3
19,Stayed here recently for our first night in Sri Lanka. The staff were very friendly and attentive. I had requested where possible to have a room overlooking the Galle Face Green which was kindly granted. The breakfast was very good and the hotel is located near to many bars and restaurants. Their roof top bar was a nice place to have a drink in the evening.,4
20,"We had a great time while enjoying a wonderful meal. Great food, and nice atmosphere. Customer service is really nice and friendly. Verity of desserts are mouths watering. Looking forward to going there again, in a few months.",5
21,"Great stay, excellent service with very nice people. The room and the hotel is good but not the best 5* hotel in the world, but the service and the people working there are very nice, helpful, they really care about you, and it makes the difference with other hotels. Nothing to complain during that stay. Thank you very much. Compliments to Glen at the Executive Lounge, to Nishani at the Business Center, Valerian at the Front Office, and to the rest of the staff.",5
22,We came for high tea . Reservation was handled very well. Calling and reconfirming was great. Reservation table was in a good location. Eight of our family members are enjoying the great food at this moment at the hotel.,5
23,My husband and I enjoyed our high tea but considering the new port is being built in front of the Kingsbury their is no ocean view.  High Tea was an amazing spread of everything from savoury to sweet. No need for dinner that night.,5
24,"Nice rooms, very big breakfast buffet, the swimming pool is pretty big, the view amazing! The personnel was very friendly. You must have a drink at the roof and enjoy the sunset! We went for a yoga retreat with my friends and had a marvelous time!",4
25,My family of 5 stayed in 2 rooms and due to an injury on the trip we needed an upgrade which was able to be provided.  The location is good but you should note that Colombo is not made for walking but driving.  Since the construction going on with reclaimed land the hotel needs to build a big fence at the end of the pool to block this - think garden or trompe l'oeil.  The inside restaurants are freezing - you will need a jacket - I have never understood this tendency to over air-con - works well to make me leave faster.,3
26,"Very convience location- from hotel to coast, we just need 5 mins walking. ,Comfortable and nice hotel. Specially there was huge buffet for dinner with hundreds dishes: Indian, Srilankan, International, also vegeterian... ,Remember in Srilanka, they charge you drinks with more expensive than normal cuz alcohol tax here is truly high, in the other hand food was kinda cheap there ",4
